delta_r,delta_s,delta_Ne
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1533042,1.0433729257992683
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.11847110000000005,0.2721647188778177
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.07773380000000008,0.32472066434146685
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.17053619999999992,0.6414247778692251
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.043874898560352316,0.2829086195753791
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.10809679999999999,1.4685950157133179
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1390764,0.08584463413769716
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.15030720000000009,0.509162348991757
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.12681900000000002,0.7908412867596444
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.19438500000000003,0.20035302644159442
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1527639999999999,0.12315064945161797
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1410764,0.18894261277302932
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.23328149999999992,0.4205285484522626
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.16809800000000008,1.330211744084686
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.19506840000000003,0.9173006881600649
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.16597177401569452,0.5808816237502502
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.14215299999999997,0.6186723960447987
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.16025,1.382720123246257
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.11371379999999998,0.2395201631816743
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.1560412,0.17199963583826244
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.1424989000000001,0.3494790999818178
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1338151999999999,1.5528931757389748
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.14242880000000002,1.062926113310473
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,-0.07509469999999996,0.03387427657047088
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1409806,0.7935897809601388
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.14519970000000004,1.595374612794093
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1398549,0.40825444193750293
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.1532024999999999,0.35638871839706127
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.15809249999999997,0.8799099720186678
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.2448338000000001,-0.020810475613609904
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.2197671000000001,-0.07950761848582209
<built-in method tolist of numpy.ndarray object at 0x16afd2790>,0.19054630000000006,0.4262961745014203
