log_Ne_opt,log_Ne_corsika
6.782245404246178,6.6752554993503885
7.389444877795125,7.180386087030992
7.179738783108828,6.817856784501502
7.527988509077726,7.258177271200323
7.264740611352608,7.044807349149535
6.981053754209539,6.89192931662351
7.072389746098309,6.781765855020947
7.351810659400704,7.125861424119777
7.525552318517802,7.224932522992543
7.3085386887756005,6.9489336113210705
7.170204547906838,6.875812261626476
7.110861653190057,7.031202863003739
7.160961872445846,7.026724753113597
7.352965826225516,7.117902718314182
7.620095892098421,7.253017303942925
6.621858748735364,6.604408612851351
7.283098114198897,7.078767492097352
7.312286810388262,7.172292334640064
7.65144417423113,7.482676220500961
6.8447819489916695,6.747876464089689
7.244451496937086,7.041136533813671
7.263013600487066,6.896064230843038
7.174652190590075,6.816846006831626
7.074056330570317,7.072578344188086
7.153451886450559,6.903260414131952
7.267379297169056,7.028962429474722
7.113513619951594,6.72957616174568
7.063137972866253,6.652194783609298
7.355368599966945,7.207153577262438
7.404803572273601,7.281657574888806
7.113019990789916,6.974307162345731
7.213898310940712,6.859010242637666
7.382446692167198,7.128183715985674
7.224327921733743,6.93429797302516
7.190298008813572,6.757100919597613
6.942094322863687,6.8591008430364395
7.146430097540361,6.915410547325581
7.0526377136074485,6.854140340515921
6.902858314445553,6.746616453209102
7.005982150364229,7.060462577857364
6.274076383103299,6.676708969663335
7.062197645651565,6.785817643870913
7.407677198204368,7.146557371654884
7.115903576270857,6.926214815276633
7.003072466080874,6.8030107101765145
7.441981308423764,7.189937319864487
7.077305610565839,6.712742694655446
7.271226620999445,7.087901187091377
7.451653481173956,7.283972283074956
7.286099969425923,6.881500348595104
7.545070834850411,7.266573774692443
7.29752918951819,6.933489717461389
7.069513795036135,7.0158285906014495
7.662694557769019,7.268801940811865
7.428045739479785,6.807738868630342
7.343888466000819,7.183780387698822
6.93909125208714,6.756369098601816
7.323136640551951,7.174842838588755
6.915327343301842,6.859775815549012
6.693093364653915,6.782916975286324
7.313727786219616,6.96797700442884
7.188269810197802,6.849039039959628
7.15888966471715,6.865926222325835
7.068403640251853,6.830205460917569
7.241697135337475,6.9617112387372995
7.43257035077668,7.090225947115974
6.759709290242167,6.883903238628924
7.526368163618828,7.196433451112878
7.159404934401088,6.849057299615601
7.218675676564785,7.114132329506905
7.421953822438092,7.299829511504557
7.0119869967602835,6.79676601179962
7.4617765776446,7.3535808545725025
7.014616707331184,6.62216685954884
6.921185426399075,6.885417736840236
6.934541210452297,6.755805248689499
7.057698985081889,6.804641886859203
6.992423199203462,6.913114207415967
6.995451236171919,6.945013223599245
6.852573613115565,6.7774127202777645
7.391562570880486,7.2391126046901
7.255156228054422,6.887760841316256
7.217101054163363,6.934410826017574
7.247456549899635,7.04855719867508
7.002513086168353,6.793354125609383
7.139611571983371,6.762538539317199
7.187890060282719,7.094636464485603
6.736530492137219,6.66760301539837
6.917795292216066,6.787629129394562
7.057220013533901,6.650187371137693
7.096700231975819,6.782216558610613
7.054381297939378,7.039913567993263
7.069310597527429,6.815587476677325
7.081757409984153,6.667557357808397
6.9202891858731395,6.771608056105355
7.1496350185809865,7.017250849652967
7.206556323115461,6.932419271506942
7.166138164934131,7.175271406298414
7.1663791341971255,7.202358935794946
7.318542077549109,7.164332360170819
