NRUN	NEvent	NtrackX	NtrackY	Ntrack	Theta	Phi	IdEv	Nview	Sdet
810	1.00686e+06	5	4	4	42.92	217.49	0	5	26.2607
810	1.01124e+06	6	5	5	48.93	126.86	0	6	26.48
810	1.01478e+06	6	5	5	45.01	237.43	0	6	23.6221
810	1.01677e+06	7	6	6	49.06	158.64	0	7	29.8593
810	1.03378e+06	6	5	5	64.84	207.76	0	5	36.4313
810	1.04048e+06	7	7	7	45.55	216.11	0	7	27.7602
810	1.05336e+06	6	6	5	43.35	232.85	0	6	23.9825
810	1.06447e+06	6	6	6	45.41	214.81	0	6	27.7979
810	1.0668e+06	5	5	5	60.46	150.88	0	5	34.8591
810	1.07302e+06	15	15	13	53.41	106.44	0	15	21.1043
810	1.07693e+06	6	6	5	42.11	233.98	0	6	23.1252
810	1.08305e+06	12	10	9	44.36	237.68	0	12	23.2613
810	1.11095e+06	11	9	9	49.81	159.23	0	10	30.1914
810	1.11431e+06	6	5	5	55.4	235.91	0	6	28.3475
810	1.12432e+06	6	6	6	47.36	150.11	0	6	29.0688
810	1.12774e+06	8	7	7	61.46	254.56	0	7	22.9192
810	1.1348e+06	4	5	4	59.6	140.52	0	5	33.6095
810	1.14823e+06	15	13	13	54.54	131.39	0	15	29.9276
810	1.15636e+06	5	5	5	50.11	211.76	0	5	30.3298
810	1.15828e+06	9	9	7	41.33	215.84	0	8	25.5529
810	1.18788e+06	5	5	5	45.57	143.57	0	5	27.7411
810	1.20039e+06	10	8	7	46.93	222.78	0	10	27.6396
810	1.20159e+06	5	6	5	42.92	195.45	0	5	26.2792
810	1.20394e+06	5	5	5	40.44	207.3	0	5	25.4428
810	1.20859e+06	8	6	6	54.84	160.78	0	6	32.3821
810	1.2207e+06	5	5	5	43.76	138.1	0	5	26.1815
810	1.22444e+06	13	9	8	40.61	149.9	0	9	25.4807
810	1.22796e+06	7	8	6	41.7	145.99	0	7	25.8898
810	1.23465e+06	5	5	5	52.93	203.91	0	5	31.767
810	1.23559e+06	8	6	6	55.34	162.76	0	8	32.4271
810	1.23564e+06	5	6	5	46.05	250.17	0	5	19.9541
810	1.24719e+06	8	7	6	43.95	118.94	0	8	22.1299
810	1.25338e+06	5	4	4	44.31	207.12	0	5	27.5541
810	1.25605e+06	5	5	5	42.94	217.42	0	5	26.2782
810	1.25827e+06	5	6	5	40.34	250.39	0	5	17.631
810	1.26676e+06	5	5	5	47.95	220.94	0	5	28.4009
810	1.27736e+06	5	5	5	57.78	143.97	0	5	33.3404
810	1.30294e+06	6	5	4	58.92	115.54	0	6	26.6241
810	1.30564e+06	5	5	5	45.88	143.8	0	5	27.9202
810	1.3114e+06	34	27	26	56.66	152.8	0	31	33.4029
810	1.31202e+06	5	5	5	48.66	113.26	0	5	22.2037
810	1.31842e+06	6	5	5	78.44	142.56	0	5	39.0334
810	1.325e+06	7	7	7	49.19	220.59	0	7	29.04
810	1.32876e+06	5	5	5	59.42	145.96	0	5	34.1707
810	1.33676e+06	11	13	11	61.26	236.68	0	11	30.1384
810	1.33779e+06	10	6	6	44.47	110.1	0	8	19.4492
810	1.34317e+06	9	5	5	52.82	142.2	0	5	31.0576
810	1.35069e+06	5	5	5	68.63	241.7	0	5	30.386
810	1.3591e+06	9	7	6	43.14	120.92	0	8	22.3275
810	1.37017e+06	6	6	6	47.98	223.6	0	6	28.015
810	1.37686e+06	5	5	5	59.31	229.68	0	5	31.4868
810	1.38281e+06	14	14	13	47.58	233.29	0	14	25.8452
810	1.3853e+06	7	6	6	51.54	161.71	0	6	30.8374
810	1.3894e+06	5	4	4	49.61	147.29	0	5	30.0349
810	1.39091e+06	6	7	6	40.65	106.8	0	7	16.7611
810	1.39427e+06	5	5	5	49.69	119.05	0	5	24.5756
810	1.40005e+06	5	5	5	41.46	142.04	0	5	25.4324
810	1.40652e+06	5	5	5	48	137.89	0	5	28.2567
810	1.40731e+06	8	7	7	53.69	162.4	0	7	31.7476
810	1.41396e+06	12	11	11	48.21	226.4	0	12	27.6319
810	1.4144e+06	10	8	6	54.26	195.39	0	6	31.768
810	1.41494e+06	5	6	5	53.98	248.03	0	5	23.6149
810	1.41526e+06	15	13	11	44.98	203.1	0	12	27.8646
810	1.43438e+06	6	5	5	58.69	121.06	0	6	28.5512
810	1.43725e+06	6	6	6	63.75	143.39	0	6	35.4574
810	1.43939e+06	5	5	5	45.72	207.76	0	5	28.285
810	1.45813e+06	5	5	5	46.17	124.73	0	5	24.7133
810	1.45923e+06	5	4	4	48.85	150.63	0	5	29.824
810	1.46621e+06	23	16	16	47.04	224.09	0	7	27.4851
810	1.47722e+06	5	5	5	50.3	154.27	0	5	30.572
810	1.482e+06	5	4	4	43.71	154.7	0	5	27.2342
810	1.49561e+06	5	5	5	57.21	213.51	0	5	33.3444
810	1.5002e+06	5	5	5	59.57	231.89	0	5	31.0019
810	1.5035e+06	7	6	6	50.48	221.52	0	7	29.5061
810	1.50468e+06	12	10	9	43.97	209.72	0	9	27.3229
810	1.50489e+06	5	4	4	68.66	242.09	0	5	30.2392
810	1.51008e+06	5	5	5	44.07	217.92	0	5	26.8215
810	1.51794e+06	20	11	11	51.6	209.16	0	9	31.14
810	1.54007e+06	9	9	8	41.17	233.15	0	8	22.85
810	1.5497e+06	5	5	5	54.46	145.79	0	5	32.1363
810	1.55112e+06	5	5	4	43.19	222.8	0	5	25.7615
810	1.56822e+06	5	4	4	40.81	109.81	0	5	17.8911
810	1.57293e+06	6	6	4	40.61	236.45	0	7	21.8147
810	1.58483e+06	9	7	7	63.61	144.86	0	9	35.5728
810	1.5905e+06	9	8	8	43.84	218.17	0	8	26.6755
810	1.60601e+06	13	7	6	51.54	207.48	0	6	31.1483
810	1.61504e+06	7	6	6	40.61	124.1	0	6	21.9464
810	1.62457e+06	5	6	5	44.77	141.17	0	5	27.0845
810	1.62507e+06	5	4	4	60.44	155.06	0	5	34.8937
810	1.6521e+06	11	9	9	49.97	201	0	10	30.2803
810	1.66108e+06	5	4	4	61.57	118.4	0	5	28.524
810	1.67254e+06	14	13	13	51.68	204.48	0	13	31.2069
810	1.67592e+06	12	13	12	46.2	128.21	0	13	25.5716
810	1.68451e+06	7	7	7	54.82	125.26	0	7	28.4691
810	1.68703e+06	10	9	8	42.79	242.54	0	8	21.1826
810	1.71218e+06	9	9	8	40.89	245.93	0	8	19.3192
810	1.72099e+06	5	5	5	63.01	142.39	0	5	35.0841
810	1.72256e+06	11	8	8	52.72	254.26	0	10	20.5769
810	1.73068e+06	5	6	5	43.09	129.35	0	5	24.3325
810	1.73751e+06	7	8	7	43.32	141.75	0	8	26.3948
810	1.74126e+06	11	11	11	44.08	232.1	0	11	24.5015
810	1.7586e+06	5	6	5	65.18	217.38	0	5	35.8274
810	1.76131e+06	9	8	8	47.52	195.67	0	9	28.6687
810	1.77392e+06	5	5	5	59.52	121.35	0	5	28.9241
810	1.79654e+06	5	5	5	44.56	237.69	0	5	23.3491
810	1.82009e+06	14	12	11	48.22	235.1	0	9	25.6664
810	1.82623e+06	10	6	6	42.47	145.05	0	8	26.2403
810	1.82798e+06	8	6	5	48.59	241.67	0	6	23.9032
810	1.83616e+06	6	6	6	46.05	147.59	0	6	28.2888
810	1.84146e+06	5	5	5	61.18	151.03	0	5	35.1306
810	1.84774e+06	17	8	7	42.48	120.27	0	9	21.8483
810	1.84945e+06	15	14	14	49.54	232.09	0	15	27.0053
810	1.8549e+06	6	6	6	41.1	125.71	0	6	22.5607
810	1.86556e+06	6	6	6	43.09	216.55	0	6	26.4392
810	1.86976e+06	5	4	4	42.55	143.54	0	5	26.1596
810	1.87123e+06	10	8	8	43.19	150.75	0	7	26.9196
810	1.87374e+06	5	5	5	56.61	156.1	0	5	33.3609
810	1.87506e+06	5	5	5	42.5	242.02	0	5	21.2077
810	1.883e+06	5	5	5	68.62	236.21	0	5	32.3905
810	1.88914e+06	6	6	6	41.49	252.77	0	6	17.2446
810	1.89655e+06	6	6	5	68.34	153.48	0	5	37.5226
810	1.90091e+06	8	6	5	40.29	149.34	0	7	25.2825
810	1.90218e+06	5	4	4	58.15	235.82	0	5	29.3694
810	1.90939e+06	6	6	5	55.38	109.18	0	5	22.9152
810	1.9129e+06	9	7	7	42.71	221.67	0	6	25.668
810	1.921e+06	10	9	9	53.79	155.77	0	10	32.1585
810	1.9262e+06	5	5	5	53.15	122.67	0	5	27.0649
810	1.92766e+06	6	5	5	45.05	152.03	0	6	27.9334
810	1.92878e+06	5	5	5	57.69	218.17	0	5	33.0541
810	1.93564e+06	8	8	6	40.22	252.22	0	7	16.9455
810	1.9443e+06	8	7	7	58.3	140.11	0	7	33.0556
810	1.97257e+06	5	5	5	48.63	215.08	0	5	29.3857
810	1.97293e+06	11	8	8	69.24	214.91	0	6	37.3169
810	1.98921e+06	5	5	5	54.54	249.39	0	5	23.2487
810	1.99402e+06	8	6	6	54.7	109.63	0	8	22.8917
810	1.99429e+06	7	5	5	43.78	225.82	0	5	25.5889
810	2.01932e+06	7	7	7	58.89	218.21	0	7	33.5156
810	2.03117e+06	18	12	11	56.7	201.06	0	15	33.2856
811	3368	6	7	6	52.09	221.79	0	6	30.1902
811	24106	5	5	5	42.54	240.77	0	5	21.5853
811	30714	5	5	5	56.89	195.09	0	5	32.8359
811	36122	11	11	11	48.87	204.5	0	11	29.868
811	38083	11	10	10	52.06	131.89	0	11	29.007
811	38945	6	6	5	41.72	224.66	0	5	24.7206
811	49688	13	10	10	50.88	162.68	0	13	30.4473
811	59113	7	6	6	41.28	150.17	0	7	25.8613
