delta_r,delta_s,delta_Ne
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.09710977070681226,0.10278441381620149
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.09662742927315482,0.026055790533802786
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.11215518331521768,0.04932803375424601
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.06967320091321083,0.020029174607789135
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.04699869607388263,-0.054333528459917124
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.012732216145630915,-0.025974864060448168
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.035938710473937485,0.04615941260334791
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.04268482770485971,0.03634052831905466
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.031051577133049513,-0.04292756692940981
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,0.1150459147264038,-0.24610374479433006
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.14222470457149283,0.08113190088735939
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.08675556487058778,0.1829773353179512
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.03130364660030138,0.016144615775375216
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.08783225529601646,0.08660653832115581
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.06015453320208941,0.06462369688444886
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.08515062579530808,0.0555997122886614
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.03309861911917089,0.024921870502281757
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,0.017624527177731775,-0.03989624919016404
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.12652397905773327,0.06637526441591134
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.0872549488932628,0.0282159717782491
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.13455723492887817,0.07972775837514152
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.10071407664571486,0.00034787917048429345
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.0051241240248876,-0.12040982794502901
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.04603925634423289,-0.05360307579121384
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.03214192482664613,-0.06006447900552212
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.05312974286153471,0.09258955794469825
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.031691657860493105,0.04529131577376264
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.05457469939300008,0.12885889519966487
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,0.01592512380250044,-0.15770166539712413
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.10900747014860501,0.06259789570008455
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.1559169423207396,0.10535315692464821
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.13834197205866894,0.10359239334346552
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.009323340935718738,-0.04779025002532904
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.13261869012167793,0.09972012356315833
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.06516499945148513,0.0974710688296387
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.011380443696628273,-0.1035722966927979
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,0.01644579759079301,-0.0037300151905188855
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.13615491386628742,0.0652571409721785
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.05885921031115937,-0.027376903736486338
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,0.010012044146763044,-0.07401853219859192
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.06748102044528181,0.02531650675507832
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,0.003753110039953933,-0.10046073096016826
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.08081363154140142,0.07600959192234964
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.019941968405950083,-0.08956979465833627
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.06785510812455864,0.021840955887581205
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.010785970461825167,-0.02084215404441828
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.044105656325533316,0.06384672494800758
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,0.05376248061180111,-0.28365486984310895
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.0953406857999064,0.07886630445932016
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,0.014168258478084672,-0.08524643155153425
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.08452893447426613,0.034934198205305994
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.07168255205303731,0.035537074081093994
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.11344544957991376,0.10363575526172597
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.09238060947217042,0.020036819806877725
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.05460245548174991,0.033274724612835184
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.13903569266008264,0.13316726202247933
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.030006702060089818,-0.025800880253816477
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.0949397200488995,0.05613735441610805
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.09976327146115072,0.037332265123702565
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.12029650649578971,0.042878199093785714
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.05849233496001727,0.012389514297658126
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.0585210807184291,0.03423277193440663
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.041515999247100144,-0.06041414130945141
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,0.06522325922540873,-0.2326803793585241
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.02364298231840678,0.20766365971346568
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.03185266008181675,-0.0025136374794260045
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.05829935109534534,0.07028269806177016
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,0.07205172572519314,-0.2557286554706729
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.0700712449125227,0.020026810355265198
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.016359486274188928,0.03533611345081347
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.15975282265927349,0.09100993286404925
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.1305875703341457,0.1711491596603913
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.11430917982877498,0.057852415474862785
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.05587143148021845,-0.03737050792061773
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.13157899274133422,0.0577975182805566
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.12309466724670282,0.04816670328478448
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.08825301951899367,0.06818167674843584
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.12088489333043118,0.11201592600118053
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.1301186451745513,0.11474899468414473
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.07212116055491058,0.01796128591061737
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.07495522962800139,0.0723303476403617
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.08791571110029661,0.049772516743604465
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.02848958658476275,-0.12470596463964664
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.08639200518885048,0.009941866896066784
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.05583516558549095,0.019842115028091127
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.023586483236462286,-0.053333819542686185
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,0.07771620036239324,-0.19873270951787164
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.023966386528355477,-0.1342367335977208
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.11496722606802079,0.020471061646256773
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.010027633926608992,-0.06849261992423598
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.13486117589924684,0.13904741239790838
<built-in method tolist of numpy.ndarray object at 0x0000017FB36C81B0>,-0.10824008446458899,0.06786843509390617
