log_Ne_opt,log_Ne_corsika
7.208165553275837,7.165674933892021
7.165515843358835,7.1543448677075645
7.185260889027023,7.164349613436818
7.332103294098376,7.323490700581581
7.157603007885058,7.181865016420155
7.414598325942498,7.4260281614057835
7.18858461356836,7.168986746686279
7.461460483847056,7.445958001343325
7.160804717540368,7.179859910283419
7.534409488838115,7.657097902771603
7.1963459739561,7.162467291720635
7.470205205921843,7.397228781869264
7.60424956633472,7.597294046020848
7.321357574902131,7.28528526096289
7.412715463182643,7.385519334511773
7.315965561941783,7.292466298763858
7.58711361680134,7.576422856290526
7.61815714537976,7.635838979038562
7.26296926860886,7.235059205957995
7.484029325094402,7.471944979403801
7.229169685162302,7.195855418508459
7.24837471758301,7.248223661851948
7.542334378756827,7.5980540105534535
7.307774429453412,7.331701109288866
7.296232794245546,7.323134731961555
7.288508863884551,7.250051818308831
7.393370423659261,7.374133081344536
7.113514316113438,7.060874656620704
7.515666111420118,7.590200169417285
7.226922425198218,7.200553473672256
7.144968497166445,7.101467441227004
7.217346752016339,7.174538053631032
7.619549242749106,7.640816618710257
7.321158640153903,7.279876467957294
7.569186773054972,7.52879369271781
7.570574145011604,7.618058875453426
7.612068075223643,7.613691028944516
7.295972800080418,7.268518345896576
7.445818485122705,7.4578739068526065
7.571006307520237,7.604404012536062
7.362825621793583,7.351967672578308
7.50133706880548,7.547316941751977
7.29680170325849,7.264985560459365
7.168405968291222,7.209159310413779
7.130178045559483,7.120794740128174
7.431911721910763,7.441059013660492
7.384048456435246,7.357169395491621
7.22869030407474,7.373567991251043
7.267825634456455,7.234858005188824
7.628121409566441,7.666817297224189
7.389396541881592,7.374483803938703
7.4056322806002415,7.390466628572495
7.278713010268565,7.23588724809052
7.268263043511661,7.25964719493568
7.516866188869598,7.502650382818632
7.222210001414736,7.167915982449823
7.6350637328375015,7.6464160000155745
7.3084207447865035,7.284700341374867
7.385499918624741,7.369582032248269
7.164818355108459,7.146584766289184
7.339227742100954,7.333880103744182
7.28910215877042,7.274483863542863
7.364902774041682,7.39196630226953
7.5578919343875794,7.672915630977177
7.52251534778696,7.440569349817497
7.37513755452353,7.376230587731209
7.260573482806968,7.231074978026037
7.391467910131027,7.519736611752295
7.317129217912393,7.30851763101682
7.356318381987192,7.341237019131385
7.153385400306041,7.115556695759487
7.250184394514798,7.181572183394564
7.223922155769416,7.199497073718394
7.439295367901712,7.455836204876672
7.308141555837247,7.283739012059864
7.263158385031733,7.24272802551458
7.361920218448133,7.33327509450168
7.37567581877811,7.329564811635576
7.319777421041352,7.272600331680013
7.441507238048794,7.4337759763890165
7.285428266743954,7.2550996697675405
7.293461543125588,7.2723663444618385
7.448093238461794,7.505939269458386
7.0999493912756515,7.0956530151295
7.286174698991926,7.277641756523596
7.405347073907633,7.429150211634582
7.628430677408171,7.724653263174642
7.356123991910792,7.418724836787576
7.24262062288941,7.233819929315558
7.526389606055011,7.557203306013856
7.190460392149247,7.133918590357912
7.3479079964145795,7.319390246935875
7.353191079201066,7.326788806842185
7.571344175649874,7.565495236176731
7.165822453982162,7.163430697204153
7.365953741986678,7.3198942806515594
7.3581443123830175,7.348837763899901
7.599932358928953,7.636688808862674
7.318806454484537,7.301900751177997
7.382657998024451,7.344913978242788
