s_opt,s_corsika
1.1897803292931877,1.2868901
1.1987036707268452,1.2953311
1.1935163166847824,1.3056715
1.2085630990867893,1.2782363
1.2631947039261173,1.3101934
1.2306608838543691,1.2433931
1.2763624895260626,1.3123012
1.2095045722951403,1.2521894
1.2484787228669505,1.2795303
1.1803923147264037,1.0653464
1.1639736954285071,1.3061984
1.1638748351294121,1.2506304
1.1676706533996986,1.1989743
1.1821137447039836,1.269946
1.1660916667979107,1.2262462
1.1464963742046919,1.231647
1.175166480880829,1.2082651
1.1871654271777319,1.1695409
1.1547034209422666,1.2812274
1.1586570511067371,1.245912
1.175108565071122,1.3096658
1.200247823354285,1.3009619
1.1953896759751124,1.2005138
1.2321175436557672,1.2781568
1.2237348751733539,1.2558768
1.2284561571384653,1.2815859
1.2336867421395068,1.2653784
1.2671231006069998,1.3216978
1.1970611238025004,1.181136
1.191412529851395,1.30042
1.1650584576792604,1.3209754
1.167572327941331,1.3059143
1.1620485590642813,1.1713719
1.155758509878322,1.2883772
1.149603300548515,1.2147683
1.1764036563033717,1.1877841
1.198551697590793,1.1821059
1.1490148861337126,1.2851698
1.1559234896888406,1.2147827
1.191293844146763,1.1812818
1.188822279554718,1.2563033
1.201426110039954,1.197673
1.1960245684585986,1.2768382
1.2837714315940498,1.3037134
1.2258799918754413,1.2937351
1.2313185295381748,1.2421045
1.2219465436744668,1.2660522
1.282359180611801,1.2285967
1.2009056142000936,1.2962463
1.1797089584780847,1.1655407
1.1551500655257338,1.239679
1.1777725479469627,1.2494551
1.1741252504200863,1.2875707
1.1705728905278296,1.2629535
1.17976324451825,1.2343657
1.1560342073399175,1.2950699
1.1566696979399103,1.1866764
1.1816974799511004,1.2766372
1.1573772285388493,1.2571405
1.1917589935042103,1.3120555
1.2041882650399827,1.2626806
1.1848179192815709,1.243339
1.1953691007529,1.2368851
1.2187420592254088,1.1535188
1.2134043176815932,1.2370473
1.2276851399181832,1.2595378
1.2356682489046547,1.2939676
1.2165135257251931,1.1444618
1.1910266550874773,1.2610979
1.242155113725811,1.2585146
1.1561522773407265,1.3159051
1.1793635296658542,1.3099511
1.182684520171225,1.2969937
1.1663175685197815,1.222189
1.1556821072586658,1.2872611
1.1549303327532972,1.278025
1.1526343804810064,1.2408874
1.157311806669569,1.2781967
1.1493274548254486,1.2794461
1.1821142394450894,1.2542354
1.1974615703719986,1.2724168
1.1912888888997033,1.2792046
1.2066362134152373,1.2351258
1.2395397948111495,1.3259318
1.223743734414509,1.2795789
1.2192797167635376,1.2428662
1.2056231003623932,1.1279069
1.2067291134716445,1.2306955
1.1895661739319792,1.3045334
1.166841966073391,1.1768696
1.170769724100753,1.3056309
1.164970515535411,1.2732106
1.1650770612167212,1.2733591
1.1518357414095821,1.2133884
1.1799338316871777,1.2998295
1.1513137151274957,1.2680285
1.1497483648932894,1.2288972
1.1537046156313655,1.1744515
1.1994109308311214,1.2787066
1.1864832557738358,1.2632216
