log_Ne_opt,log_Ne_corsika
7.226693376546662,7.165674933892021
7.182415743919635,7.1543448677075645
7.209762081980411,7.164349613436818
7.380286492197779,7.323490700581581
7.166611063481441,7.181865016420155
7.456567813654972,7.4260281614057835
7.242879043884313,7.168986746686279
7.533380247790776,7.445958001343325
7.184111425930138,7.179859910283419
7.622382496431313,7.657097902771603
7.217507236574668,7.162467291720635
7.538239267159861,7.397228781869264
7.678060434479339,7.597294046020848
7.337099387709373,7.28528526096289
7.472542157556547,7.385519334511773
7.368420115284325,7.292466298763858
7.633447791840597,7.576422856290526
7.690990772948406,7.635838979038562
7.310856564190383,7.235059205957995
7.556893687354093,7.471944979403801
7.249488060034857,7.195855418508459
7.275527108696343,7.248223661851948
7.626387889075051,7.5980540105534535
7.346504510274511,7.331701109288866
7.320194553754645,7.323134731961555
7.658171456937724,7.250051818308831
7.4710295460576,7.374133081344536
7.162042891155269,7.060874656620704
7.566851341108366,7.590200169417285
7.234626775893246,7.200553473672256
7.153639757192768,7.101467441227004
7.2455317566663275,7.174538053631032
7.6973916041949275,7.640816618710257
7.343187835840199,7.279876467957294
7.6471405505084356,7.52879369271781
7.612891480852958,7.618058875453426
7.675302035918535,7.613691028944516
7.330068168792676,7.268518345896576
7.51930779553875,7.4578739068526065
7.647606229465148,7.604404012536062
7.399555772943058,7.351967672578308
7.566758810949143,7.547316941751977
7.328470715237823,7.264985560459365
7.187639802994977,7.209159310413779
7.1447173039411584,7.120794740128174
7.517791670615692,7.441059013660492
7.438870090407408,7.357169395491621
7.233383203991446,7.373567991251043
7.280174684541386,7.234858005188824
7.674129378151173,7.666817297224189
7.425150698450014,7.374483803938703
7.436014708305709,7.390466628572495
7.297039642681793,7.23588724809052
7.287131244637617,7.25964719493568
7.570463543891649,7.502650382818632
7.245127210406621,7.167915982449823
7.705333210872118,7.6464160000155745
7.345360212061132,7.284700341374867
7.433527901543058,7.369582032248269
7.180833224818789,7.146584766289184
7.366047052061089,7.333880103744182
7.354899061005459,7.274483863542863
7.414711436018864,7.39196630226953
7.628066944882413,7.672915630977177
7.60341382799186,7.440569349817497
7.4583079175969225,7.376230587731209
7.337496516587557,7.231074978026037
7.443081407498054,7.519736611752295
7.339802120537619,7.30851763101682
7.384788487876181,7.341237019131385
7.173549629301245,7.115556695759487
7.265413720227134,7.181572183394564
7.238377125050119,7.199497073718394
7.497135280137974,7.455836204876672
7.343805028006798,7.283739012059864
7.277983860407968,7.24272802551458
7.406283894098669,7.33327509450168
7.4195615835085285,7.329564811635576
7.374565806150095,7.272600331680013
7.4805105093083535,7.4337759763890165
7.326435860564476,7.2550996697675405
7.331020199999933,7.2723663444618385
7.508020082414156,7.505939269458386
7.103696928138479,7.0956530151295
7.328499667131748,7.277641756523596
7.498352747980329,7.429150211634582
7.781648578669175,7.724653263174642
7.389829744556907,7.418724836787576
7.2555193471904635,7.233819929315558
7.5808428556155025,7.557203306013856
7.218207051642739,7.133918590357912
7.367116523257377,7.319390246935875
7.37337048839654,7.326788806842185
7.640129260971885,7.565495236176731
7.174085985850838,7.163430697204153
7.405678213629144,7.3198942806515594
7.411148014095704,7.348837763899901
7.704202166117264,7.636688808862674
7.348963088898997,7.301900751177997
7.42391080586229,7.344913978242788
