event_id,particle_name,pid,x,y,z,energy,theta_prim,phi_prim,energy_prim
78,e+,3,-33.46138427734375,-22.8239501953125,258377.56,0.003837271323567033,30.0,-11.162722,100000.0
78,e-,2,-74.8467919921875,-46.68892578125,258451.88,0.00400176935832556,30.0,-11.162722,100000.0
78,e+,3,-83.330810546875,-32.46572998046875,258455.7,0.07686045794779368,30.0,-11.162722,100000.0
78,e+,3,-57.9368798828125,-51.38869140625,258408.4,0.14438328161903213,30.0,-11.162722,100000.0
78,e-,2,-59.621015625,-51.1058447265625,258411.22,0.3274259774486118,30.0,-11.162722,100000.0
78,e+,3,-68.1979443359375,-43.5522216796875,258430.66,0.0061149307397429875,30.0,-11.162722,100000.0
78,e+,3,-67.5778662109375,-43.20271484375,258425.19,0.2843074577617058,30.0,-11.162722,100000.0
78,e+,3,394.2946875,481.919375,257914.05,0.004223317682032561,30.0,-11.162722,100000.0
78,e-,2,-135.719248046875,32.1964892578125,258554.83,0.02032146184632516,30.0,-11.162722,100000.0
78,e-,2,-120.4985546875,0.8177123260498047,258534.86,0.006409004820814046,30.0,-11.162722,100000.0
78,e+,3,-133.6855859375,-8.887514038085937,258542.39,0.074603548470833,30.0,-11.162722,100000.0
78,e+,3,-85.488203125,-1.926336669921875,258517.48,0.001960817553142783,30.0,-11.162722,100000.0
78,e+,3,40.23056640625,-39.4043359375,258247.69,0.04181115176435625,30.0,-11.162722,100000.0
78,e+,3,249.31818359375,18.99311279296875,257968.22,0.006906812470243487,30.0,-11.162722,100000.0
78,e+,3,-242.83384765625,-366.6633203125,258789.56,0.02256053349105155,30.0,-11.162722,100000.0
78,e+,3,2.427601165771484,14.1235595703125,258312.97,0.0485376536464277,30.0,-11.162722,100000.0
78,e-,2,-2.8030276489257813,7.2859259033203125,258319.95,0.12334882714901046,30.0,-11.162722,100000.0
78,e-,2,14.57997314453125,28.89650634765625,258306.47,0.030859358446954126,30.0,-11.162722,100000.0
78,e-,2,-2.1521046447753904,9.337178955078125,258322.14,0.044758103981833816,30.0,-11.162722,100000.0
78,e-,2,77.0026318359375,4.6722412109375,258195.39,0.10844445950090173,30.0,-11.162722,100000.0
78,e-,2,22.3179931640625,-59.4558740234375,258276.7,0.010863096125294989,30.0,-11.162722,100000.0
78,e+,3,22.286240234375,-61.067275390625,258276.03,0.03455443590360853,30.0,-11.162722,100000.0
78,e-,2,75.6203076171875,-90.993505859375,258202.56,0.038280530438716556,30.0,-11.162722,100000.0
78,e+,3,97.572568359375,-126.913828125,258181.17,0.014627679046735358,30.0,-11.162722,100000.0
78,e-,2,-19.5446630859375,-5.21580322265625,258348.06,0.0774423765224553,30.0,-11.162722,100000.0
78,e+,3,-276.103359375,84.7421484375,258843.8,0.005499853217611787,30.0,-11.162722,100000.0
78,e-,2,63.9234912109375,-32.91308349609375,258235.34,0.01610194422516839,30.0,-11.162722,100000.0
78,e+,3,31.372939453125,17.001689453125,258281.52,0.0033834731052309504,30.0,-11.162722,100000.0
78,e+,3,28.1692578125,-21.191484375,258276.47,0.007062903828449747,30.0,-11.162722,100000.0
78,e+,3,-169.12640625,-10.617281494140625,258617.0,0.01142154557859891,30.0,-11.162722,100000.0
78,e+,3,44.9212109375,23.321328125,258259.39,0.009100774912293903,30.0,-11.162722,100000.0
78,e+,3,2.4507765197753906,-6.0267401123046875,258317.8,0.01795964161751078,30.0,-11.162722,100000.0
78,e+,3,-25.10092529296875,0.4126442337036133,258358.28,0.05859602509819114,30.0,-11.162722,100000.0
78,e+,3,151.493203125,-4.992594909667969,258090.7,0.0023485467137234722,30.0,-11.162722,100000.0
78,e-,2,152.14345703125,-7.262674560546875,258084.72,0.028901699463802825,30.0,-11.162722,100000.0
78,e-,2,33.03867919921875,-36.92519775390625,258260.69,0.04388991621907252,30.0,-11.162722,100000.0
78,e+,3,62.642236328125,-281.2478125,258242.31,0.006505104255778754,30.0,-11.162722,100000.0
78,e-,2,-32.661123046875,-183.88337890625,258548.2,0.005029847232840946,30.0,-11.162722,100000.0
78,e+,3,-68.7852880859375,-279.45638671875,258440.61,0.027519200776315787,30.0,-11.162722,100000.0
78,e+,3,-87.41416015625,-295.85166015625,258480.33,0.03238825221199977,30.0,-11.162722,100000.0
78,e+,3,-284.81435546875,-462.101875,259021.02,0.003932430482131952,30.0,-11.162722,100000.0
78,e+,3,-39.4171875,-265.4071484375,258391.42,0.0021112722411521898,30.0,-11.162722,100000.0
78,e+,3,-36.24855224609375,-262.037578125,258380.52,0.3074066294171606,30.0,-11.162722,100000.0
78,e+,3,-47.85220703125,-255.282734375,258402.4,0.005050195345961276,30.0,-11.162722,100000.0
78,e-,2,-36.33269287109375,-250.98404296875,258382.95,0.053321243407546084,30.0,-11.162722,100000.0
78,e+,3,839.598046875,1518.1278125,258189.1,0.008339632045409707,30.0,-11.162722,100000.0
78,e+,3,16.0872412109375,-886.570234375,258433.78,0.2157252942891584,30.0,-11.162722,100000.0
78,e+,3,50.719794921875,-17.329638671875,258234.58,0.026818343863098656,30.0,-11.162722,100000.0
78,e-,2,25.6968212890625,1.1416165924072266,258278.88,0.018721962117171583,30.0,-11.162722,100000.0
78,e+,3,21.02359375,63.4947900390625,258288.73,0.02106885735247993,30.0,-11.162722,100000.0
78,e-,2,15.019476318359375,61.1353662109375,258296.5,0.07681573688613053,30.0,-11.162722,100000.0
78,e-,2,-15.98934326171875,-14.230206298828126,258358.14,0.05331417258871907,30.0,-11.162722,100000.0
78,e+,3,-115.607392578125,260.0490234375,258567.78,0.018942030735837785,30.0,-11.162722,100000.0
