T, Hc2
3.9969834087481146, 37.75798027943726
4.962292609351432, 35.98720900897999
6.0030165912518845, 34.39504463159477
6.98340874811463, 31.912663778897823
7.99396681749623, 29.78642319232648
8.974358974358976, 27.304042339629532
10.000000000000002, 24.644128113879006
11.975867269984919, 19.145692769305924
13.996983408748115, 13.64765999473974
15.98793363499246, 7.793486954047978
16.56108597285068, 5.841290800470205
17.028657616892907, 4.777835032178771
17.450980392156865, 3.536040750819893
18.009049773755656, 1.9395822933608144
