log_Ne_opt,log_Ne_corsika
5.008460528707981,4.9467732000711155
5.657761005470604,5.662261697395563
4.056560721981392,4.365610992612916
4.824139722288097,4.370416986454769
4.263230196010556,4.512455851311334
4.31645688534326,4.057916492614473
5.000740694299641,4.838667555472937
4.246584490964353,4.18531319043746
5.212521182140714,5.225572234625594
4.664999488764376,4.646305945038596
4.352841912489939,4.360152761718864
4.977795318284105,4.93198617816184
4.734150257828685,4.74098853835195
4.835092106940238,4.753074935935043
4.993934076681498,4.965503955122439
4.6193287194070445,4.574682313868028
4.563613434621356,4.534747552816028
4.369989897399015,4.145188696308346
4.47729200871545,4.397142607274061
4.488898546020707,4.389942776554827
5.5233474168639605,5.383249607232414
4.542138257719975,4.448658405771194
4.748549529719033,4.421755393555287
4.803822158720381,4.692130650395795
4.6642694996443606,4.48440968060033
4.356338649245364,4.472344507746045
4.5144093623507,4.767280806138151
4.311682862043549,4.177473760766888
4.666688247471394,4.669089071966069
4.868326820295856,4.791223366276291
4.9213316746022135,4.830847147719282
4.442522499993707,4.38143612323965
4.397759018136404,4.401557840637633
4.510374701174624,4.5592864454042115
4.473292577431391,4.458400470553007
4.290304595556974,4.1154736790391
3.915181625807666,4.134174684194042
5.434939271792631,5.489336276023745
4.170352882395025,4.169735078255512
4.688963392145672,4.463024921003955
4.299469456091773,4.340497833150233
4.4499323952466225,4.483019519176238
4.508043388477401,4.347704108641813
4.68439407332128,4.64429353452438
4.5419911906892,4.64695233563788
4.091523258830689,4.070382467271588
5.414307343244724,5.307184389360012
4.863450139572786,4.776174140640733
4.73187363457078,4.7266238134476986
4.447585049794903,4.340382297842668
5.034521479384145,4.941591277837923
4.262932987414208,4.146046163451699
5.213092852802544,5.134625392007049
4.836205579117408,4.713546619743485
4.925233406635233,4.75549741933059
4.053358830382614,4.257167126023073
5.033635222048214,4.80033625087204
4.291418210611132,4.40115781954258
4.989956432720288,4.868450578733164
4.5583735931084854,4.407502565838803
4.630012112562529,4.459943104449155
4.41823712886108,4.4582451599681585
4.750195835837567,4.588031237270433
4.136328692155064,4.335996212446774
4.414289841701741,4.185520028785838
5.223715074315895,5.217132708033326
4.625177902198861,4.71154203449868
4.5395710855963305,4.315832797091341
5.008542297168094,4.893237963383228
4.381203502108671,4.480896564948037
4.66690016744992,4.439788495350802
4.000488379526541,4.016621232221564
4.420055228932741,4.45247673711807
5.165867209341958,5.164909050829805
4.1066344470115,4.28948513751186
5.00335924934401,5.114299461371527
4.358680217336513,4.41466565828531
5.091246900478605,5.055264371468355
4.55950491639624,4.484835257687564
4.445945832364969,4.453396490729746
4.905874076005845,4.836252064960627
5.032472890147058,4.767425824243272
5.340636180304771,5.137268383561967
4.6595437962514525,4.222393829164636
5.303013313633856,5.205124997773511
4.574603905123149,4.417230480689251
4.322021520481729,4.224790041244617
4.665580298452773,4.592796023911621
5.045844543839491,4.907547056598813
5.004469573952175,4.925504232035059
4.794685903651592,4.8309248761761925
4.418995813482445,4.3392119667342355
4.231401803333934,4.467727191002627
4.284250521460085,4.260587891160066
4.302997038002245,4.230352318432938
4.524050734445754,4.378924168562218
4.565912059929189,4.486622248724016
5.081924726006434,4.964661720465441
5.111218664558518,5.039986510789901
4.972099427188677,4.76807286961325
4.926087242648221,5.015680997718896
