delta_r,delta_s,delta_Ne
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.12914650000000005,-0.18033598754812155
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.005045979437097836,0.673933837757051
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.17008869999999998,0.304080298392766
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.07734625624304647,-0.20511017621745364
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.11730245703839959,0.6869867521364142
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.031219451654915797,-0.03646577104999744
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2041897077756023,-0.071934792015534
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.09347970000000005,0.002208677048403564
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.11707919200870953,-0.34362911359798426
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.016304000000000096,-0.22543157710791248
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.17022950000000003,-0.12094801480403436
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.03364750000000005,0.08638191928753086
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.20401510000000012,0.18759855010052376
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.13570550000000003,-0.017009452530480598
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.05713239999999997,0.17387542568746786
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.21784669999999995,0.840971502720508
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.0730782565836745,0.597231243083812
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.29290039999999995,1.7362134104584315
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1258722000000001,0.2528189557890541
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.13450960103767384,0.4367242575917993
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.13915450744535196,0.25092559670628467
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2207901000000001,0.18245405388418143
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.17901940000000005,0.3749835020245088
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.10695920000000014,0.1994035831040137
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.10339870000000007,-0.08005677051135103
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2572014,0.2016662029620293
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.18896670000000015,-0.41967054726139585
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.20521634566745162,0.0559968684427507
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.21244830000000015,0.1820741484540951
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.0926955024688505,0.3967753621984878
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1733183343804381,0.2003000141133448
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1359399000000001,0.3099749940486232
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.006412100000000143,0.1782356355561056
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.13039046218154615,0.5996558463020968
