r, rho
2.642623367096462, 24.437664687235362
7.539923257060629, 10.3496430860848
12.631549248088476, 5.671936280754442
17.725996670710714, 3.5664718948914755
22.822912845978045, 2.529211073703039
27.730087746522585, 1.7330295587336508
32.26060152921591, 1.271972177705078
37.736647574979536, 0.9497557691643783
42.45760799029427, 0.7466796725679573
47.55664023925738, 0.5870251611282366
52.65567248822051, 0.4615078626856145
57.37733826143384, 0.3755146334124791
62.666111785119774, 0.3055446099798457
67.57751883305588, 0.25730472486349165
72.48927855994131, 0.220436538184971
77.21129701210393, 0.18247107466990406
82.50112857263773, 0.15632550875412313
87.60227689529665, 0.13624744228764699
92.51474198008069, 0.12080629139919745
97.61518494484099, 0.10173319559556182
102.527650029625, 0.09020360210610172
107.62950371018252, 0.0813668983291591
112.54161611601725, 0.0709163326739185
117.45408120080128, 0.0628792658865535
122.74532347713227, 0.057702420305555384
127.46839996614278, 0.05029126239917876
132.569900967751, 0.04459166937902594
137.294740851508, 0.0423511952494004
142.58492509099113, 0.0369117111886793
147.30941229579886, 0.03445985397976325
152.41161865530566, 0.031622776601683826
157.51417769376178, 0.029522236413220278
162.61603137431928, 0.02663012066700387
167.7182377338261, 0.0244376646872354
172.44201958073523, 0.02204365381849708
177.73467257286345, 0.021668103208053353
182.64678497869818, 0.01888510496367835
187.75040205400217, 0.018563365529925678
192.4741839009113, 0.016744824380115382
197.95446209406649, 0.015366224155151126
202.49026606099932, 0.014594160041627762
207.2158113026549, 0.014345524050622147
212.50881697373242, 0.014345524050622147
217.41916598482067, 0.011473647220774067
