r, rho
2.4726321135344094, 61.808012142397324
7.371695398245066, 28.524883580684282
12.83998250712412, 14.594160041627754
17.745746691871453, 9.335750868773594
22.84195750924019, 6.396908655342072
27.558685777163326, 4.092044034479028
32.65877606297435, 3.387277257735788
37.18787912987049, 2.3209813021606354
42.286911378833615, 1.8247107466990407
47.57427418672233, 1.3860887695644182
52.485681234658465, 1.1672507969054777
57.774102079395085, 0.9335750868773595
62.307084614733505, 0.7727868110713011
67.21849166266963, 0.650777959440856
72.69665378212903, 0.5386954204979273
77.41867223429165, 0.4459166937902599
82.70920915272407, 0.3953802078431887
87.62061620066021, 0.3329569309118964
92.72176452331914, 0.2901927560654381
97.63387692915384, 0.2529211073703039
102.54528397708995, 0.212989507320644
107.45845441977258, 0.19545409601731908
112.74863865925568, 0.17035044938756067
117.8497869819146, 0.14847105380678452
122.38488559094881, 0.13624744228764699
127.86481110515473, 0.12290010072088965
132.58788759416527, 0.1071151120093428
137.50176339474646, 0.10173319559556182
141.8474734080072, 0.09176700696484259
147.7047653979629, 0.079980676762216
152.6186411985441, 0.0759621091765859
157.34242304545324, 0.06852055871305006
162.63331264283494, 0.06180801214239729
167.358152526592, 0.05870251611282372
172.64833676607506, 0.05116290834403366
177.56256524560555, 0.04943446640476205
182.4760883672375, 0.0461507862685615
187.5772366898964, 0.04022329201912492
191.73567418107945, 0.039538020784318874
197.40604632790675, 0.03820230364994735
202.69340913579543, 0.029019275606543778
207.79808424794737, 0.0300339145144455
212.33741500437318, 0.03387277257735788
217.25129080495438, 0.0321708611729385
