r, rho
2.268431001890356, 8.715624428380671
7.372400756143662, 3.9538020784318872
12.476370510396968, 2.093608738757996
17.76937618147447, 1.3860887695644182
22.306238185255197, 0.9497557691643783
27.5992438563327, 0.6620572143707706
32.1361058601134, 0.5204966161801357
37.24007561436672, 0.3820230364994735
42.155009451795834, 0.2952223641322031
47.25897920604915, 0.24021328086838906
52.36294896030245, 0.18247107466990406
57.46691871455576, 0.1510443475720476
62.57088846880907, 0.12503019985352465
67.48582230623818, 0.10349643086084795
72.21172022684308, 0.08866683247099053
77.50472589792058, 0.0759621091765859
82.60869565217389, 0.06396908655342072
87.1455576559546, 0.056719362807544416
92.62759924385632, 0.04859226736697413
97.54253308128544, 0.040920440344790275
102.26843100189033, 0.03755146334124791
106.99432892249526, 0.03387277257735788
112.47637051039696, 0.0300339145144455
117.76937618147447, 0.02617643190219976
122.30623818525517, 0.0244376646872354
127.59924385633268, 0.02204365381849708
132.51417769376178, 0.01988416978008358
137.61814744801512, 0.017936237390528294
142.5330812854442, 0.016459548215396785
147.4480151228733, 0.014847105380678466
152.74102079395084, 0.014101123990690814
157.46691871455573, 0.01250301998535249
162.75992438563327, 0.011672507969054776
167.29678638941397, 0.010529022644209175
171.83364839319466, 0.010349643086084806
177.6937618147448, 0.009335750868773595
182.60869565217388, 0.008866683247099051
187.71266540642716, 0.008277714582724516
192.6275992438563, 0.007466796725679573
197.5425330812854, 0.00721454514283566
202.45746691871454, 0.006396908655342072
207.37240075614363, 0.006075500900228673
212.28733459357272, 0.005971994553657502
218.33648393194704, 0.004695066966348526
